"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Properties", "Markdown", "XML", "TypeScript JSX", "Prisma", "SQL", "CSS", "JavaScript", "comment", "blank", "total"
"f:\__Projects__\geo-fonf\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 2, 8
"f:\__Projects__\geo-fonf\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"f:\__Projects__\geo-fonf\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 35
"f:\__Projects__\geo-fonf\components\common\actor-overview-cards\client-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 7, 149
"f:\__Projects__\geo-fonf\components\common\actor-overview-cards\partner-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 12, 216
"f:\__Projects__\geo-fonf\components\common\actor-overview-cards\task-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 13, 116
"f:\__Projects__\geo-fonf\components\common\blurred.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"f:\__Projects__\geo-fonf\components\common\cards\filled-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"f:\__Projects__\geo-fonf\components\common\cards\outline-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"f:\__Projects__\geo-fonf\components\common\contacts\email-contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"f:\__Projects__\geo-fonf\components\common\contacts\phone-contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"f:\__Projects__\geo-fonf\components\common\contacts\send-message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 4, 35
"f:\__Projects__\geo-fonf\components\common\data-presentation\bullet-point.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 12, 10, 93
"f:\__Projects__\geo-fonf\components\common\data-presentation\label-and-data.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"f:\__Projects__\geo-fonf\components\common\data-presentation\spacer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"f:\__Projects__\geo-fonf\components\common\data-presentation\span.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"f:\__Projects__\geo-fonf\components\common\display-modifiers\error-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"f:\__Projects__\geo-fonf\components\common\display-modifiers\primary-dark-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"f:\__Projects__\geo-fonf\components\common\display-modifiers\secondary-dark-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"f:\__Projects__\geo-fonf\components\common\helper\background-image.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 1, 6, 58
"f:\__Projects__\geo-fonf\components\common\helper\breakpoint-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"f:\__Projects__\geo-fonf\components\common\helper\init-loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"f:\__Projects__\geo-fonf\components\common\helper\render-counter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
